,Case_num,Year,Country,Activity,Type,Fatal
4354,1947.04.00,1947,PACIFIC OCEAN,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",Provoked,0
4355,1947.03.12,1947,SOUTH AFRICA,Wading,Unprovoked,0
4356,1947.03.09,1947,SOUTH AFRICA,Treading water,Unprovoked,0
4357,1947.02.23,1947,AUSTRALIA,Fishing,Boating,0
4358,1947.02.06.R,1947,BAHAMAS,Attempting to ride a shark,Provoked,0
4359,1947.02.00,1947,BRAZIL,Bathing,Unprovoked,1
4360,1947.01.14,1947,AUSTRALIA,Rowing,Boating,0
4361,1947.01.05,1947,SOUTH AFRICA,Treading water,Unprovoked,0
4362,1946.12.28,1946,AUSTRALIA,Swimming near jetty with 2' piece of wood,Unprovoked,0
4363,1946.12.24.R,1946,AUSTRALIA,,Boating,0
4364,1946.11.20,1946,AUSTRALIA,Pearl diving from lugger,Unprovoked,1
4365,1946.10.26.R,1946,MARSHALL ISLANDS,Fishing,Unprovoked,1
4366,1946.10.14,1946,AUSTRALIA,Swimming,Unprovoked,0
4367,1946.08.24,1946,ISRAEL,Fishing,Unprovoked,0
4368,1946.08.18,1946,AUSTRALIA,Swimming after a tennis ball,Unprovoked,1
4369,1946.07.18.b,1946,IRAN,"Fishing, probably with a net",Unprovoked,0
4370,1946.07.18.a,1946,IRAN,Swimming ,Unprovoked,0
4371,1946.06.28,1946,INDIA,Bathing,Unprovoked,0
4372,1946.05.09,1946,TANZANIA,Swimming ,Unprovoked,0
4373,1946.04.19,1946,AUSTRALIA,Swimming,Unprovoked,1
4374,1946.04.00,1946,AUSTRALIA,Fishing,Boating,0
4375,1946.03.20,1946,AUSTRALIA,Fishing,Boating,0
4376,1946.02.16,1946,SOUTH AFRICA,Treading water,Unprovoked,0
4377,1946.02.10.b,1946,AUSTRALIA,Standing,Unprovoked,0
4378,1946.02.10.a,1946,SOUTH AFRICA,Swimming ,Unprovoked,0
4379,1946.01.24.b,1946,SOUTH AFRICA,Treading water,Unprovoked,0
4380,1946.01.24.a,1946,SOUTH AFRICA,Swimming,Unprovoked,0
4381,1946.01.17,1946,AUSTRALIA,,Unprovoked,0
4382,1946.01.07,1946,SOUTH AFRICA,Jumping in swells,Unprovoked,0
4383,1946.01.05,1946,AUSTRALIA,Swimming,Unprovoked,1
4384,1946.01.01,1946,SOUTH AFRICA,Body surfing,Unprovoked,0
4385,1946.00.00.c,1946,SOUTH AFRICA,,Boating,0
4386,1946.00.00.b,1946,SOUTH AFRICA,,Boating,0
4387,1946.00.00.a,1946,PERSIAN GULF,Bitten after dhow shipwrecked,Unprovoked,0
4388,1945.09.23,1945,HONG KONG,Bathing,Unprovoked,1
4389,1945.09.19,1945,OKINAWA,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,Sea Disaster,0
4390,1945.09.16,1945,JAPAN,American minesweeper USS YMS-350 lost in a typhoon - swimming to shore,Sea Disaster,1
4391,1945.09.06,1945,IRAN,Swimming,Unprovoked,0
4392,1945.08.19,1945,IRAN / IRAQ,,Unprovoked,0
4393,1945.08.06,1945,USA,,Unprovoked,1
4394,1945.07.30,1945,PHILIPPINES,American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,Sea Disaster,1
4395,1945.07.00,1945,JAVA,"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",Sea Disaster,1
4396,1945.06.15,1945,AUSTRALIA,Swimming,Unprovoked,1
4397,1945.05.08,1945,USA,Swimming,Unprovoked,1
4398,1945.03.06,1945,SOUTH AFRICA,Walking,Unprovoked,0
4399,1945.02.05,1945,ISRAEL,Swimming,Unprovoked,0
4400,1945.00.00.d,1945,JAMAICA,Diving,Unprovoked,0
4401,1945.00.00.c,1945,CUBA,"Playing on rock, slipped & fell into the water",Unprovoked,1
4402,1945.00.00.b,1945,PANAMA,Bathing with her mother,Unprovoked,0
4403,1945.00.00.a,1945,IRAQ,Swimming,Unprovoked,0
4404,1944.12.18,1944,PHILIPPINES,Swimming near life raft,Sea Disaster,0
4405,1944.12.02,1944,USA,Fishing for mackerel,Provoked,0
4406,1944.11.08,1944,SIERRA LEONE,,Sea Disaster,1
4407,1944.11.01,1944,AUSTRALIA,Swimming,Invalid,1
4408,1944.10.26.b,1944,PHILIPPINES,"USS Gambier Bay CVE-73  shelled & sunk  at 09h57 on 10/24/1944, by Japanes fleet enroute to attack the Allied landing force at Leyte.",Sea Disaster,1
4409,1944.10.26.a,1944, PHILIPPINES,USS Hoel DD 533 sunk on 10/24/1944 in the Battle off Samar. 2 crewmen were swimmng alongside a floater net &,Sea Disaster,1
4410,1944.10.25.b,1944,PHILIPPINES,USS Johnston DD 557 sunk on 10/24/1944 in the Battle off Samara. Crewmen were swimming beside a raft.,Sea Disaster,1
4411,1944.10.25.a,1944,PHILIPPINES,Parachuted into Pacific,Unprovoked,0
4412,1944.10.24,1944,,Japanese POW ship Arisan Maru with 1800 American prisoners of war on board bound for slave labor camps was torpedoed by an American submarine,Sea Disaster,1
4413,1944.10.23.R,1944,AUSTRALIA,Fishing,Boating,0
4414,1944.09.03,1944,USA,Swimming,Unprovoked,0
4415,1944.09.00,1944,CARIBBEAN SEA,Fell overboard from US Navy PC boat,Unprovoked,1
4416,1944.08.20,1944,SOUTH AFRICA,Swimming ,Unprovoked,1
4417,1944.07.22,1944,SOUTH AFRICA,Swimming,Unprovoked,1
4418,1944.06.23,1944,NORTH PACIFIC OCEAN,,Invalid,0
4419,1944.05.31,1944,USA,Bathing,Unprovoked,0
4420,1944.05.24.R,1944,SAMOA,,Unprovoked,0
4421,1944.05.04,1944,PANAMA,Washed overboard by swell,Unprovoked,1
4422,1944.04.00,1944,NICARAGUA,,Unprovoked,1
4423,1944.03.26.b,1944,SOUTH AFRICA,Treading water,Unprovoked,0
4424,1944.03.26.a,1944,SOUTH AFRICA,Standing,Unprovoked,1
4425,1944.03.14,1944,SOUTH AFRICA,Treading water,Unprovoked,0
4426,1944.02.27,1944,SOUTH AFRICA,Treading water,Unprovoked,0
4427,1944.02.18,1944,INDIA,Bathing,Unprovoked,1
4428,1944.01.20,1944,SOUTH AFRICA,Body surfing,Unprovoked,1
4429,1944.01.16,1944,AUSTRALIA,Fishing,Boating,0
4430,1944.01.14,1944,AUSTRALIA,Surfing,Unprovoked,0
4431,1944.01.04,1944,SOUTH AFRICA,Swimming,Unprovoked,1
4432,1944.00.00.c,1944,SOUTH PACIFIC OCEAN,Adrift on raft,Sea Disaster,1
4433,1944.00.00.b,1944,ITALY,B-24 aircraft crashed  into the sea,Sea Disaster,1
4434,1944.00.00.a,1944,NEW GUINEA,Fell overboard from USS Ward,Unprovoked,1
4435,1943.12.12,1943,SOUTH AFRICA,Treading water,Unprovoked,1
4436,1943.12.04,1943,USA,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,Sea Disaster,1
4437,1943.11.21,1943,SOUTH AFRICA,Swimming with board,Unprovoked,0
4438,1943.11.11,1943,PACIFIC OCEAN,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,Sea Disaster,1
4439,1943.10.26,1943,USA,,Invalid,0
4440,1943.09.23,1943,PANAMA,Dived overboard to check propeller of US Navy motor torpedo boat,Unprovoked,1
4441,1943.08.00,1943,ITALY,Flying Fortress bomber aircraft went down after daytime raid on Naples. He was swimming on the surface,Sea Disaster,0
4442,1943.07.18,1943,USA,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,Sea Disaster,1
4443,1943.07.00.b,1943,PORTUGAL,Fishing for mackerel,Boating,0
4444,1943.07.00.a,1943,MEXICO,Swimming,Invalid,0
4445,1943.06.16,1943,AUSTRALIA,Fishing for cod,Boating,0
4446,1943.05.27,1943,PACIFIC OCEAN,B-24 crashed during a search mission. Survivors in raft for 47 days ,Invalid,0
4447,1943.05.17.b,1943,CENTRAL PACIFIC,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",Sea Disaster,0
4448,1943.05.17.a,1943,CENTRAL PACIFIC,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",Sea Disaster,1
4449,1943.05.14,1943,AUSTRALIA,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,Sea Disaster,1
4450,1943.05.01.R,1943,INDIAN OCEAN,ship torpedoed 400 miles off the African coas. Man was clinging to hatch cover,Sea Disaster,0
4451,1943.04.05,1943,USA,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",Invalid,1
4452,1943.03.21,1943,SOUTH AFRICA,Swimming,Unprovoked,1
4453,1943.03.14,1943,SIERRA LEONE,"The 21,516-ton troopship Empress of Canada torpedoed and sunk by the Italian submarine Leonardo da Vinci",Sea Disaster,1
4454,1943.03.02.b,1943,BRAZIL,The 3540-ton Alfonso Penna was torpedoed & sunk by the Italian submarine Barbarigo,Sea Disaster,1
4455,1943.03.02.a,1943,PAPUA NEW GUINEA,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force. ",Sea Disaster,1
4456,1943.01.26,1943,PACIFIC OCEAN,The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,Sea Disaster,1
4457,1943.00.00.f,1943,MEXICO,Swimming,Unprovoked,1
4458,1943.00.00.e,1943,SOLOMON ISLANDS,Swimming,Unprovoked,0
4459,1943.00.00.d,1943,IRAQ,Swimming,Unprovoked,0
4460,1943.00.00.c,1943,USA,Spearfishing,Unprovoked,0
4461,1943.00.00.b,1943,USA,Spearfishing,Unprovoked,0
4462,1943.00.00.a,1943,USA,,Unprovoked,
4463,1942.12.26,1942,AUSTRALIA,Dog paddling or standing,Unprovoked,1
4464,1942.11.28,1942,SOUTH AFRICA,U-177 torpedoed & sank the troopship Nova Scotia,Sea Disaster,1
4465,1942.11.25,1942,SOUTH AFRICA,Swimming,Unprovoked,0
4466,1942.11.16,1942,SOLOMON ISLANDS,Thrown from destroyer when shell hit,Sea Disaster,0
4467,1942.11.21,1942,INDIAN OCEAN,"On 6-Nov-1942, the German submarine U-68 sank the City of Cairo 5 days from Cape Town, survivors took to lifeboats & rafts. On the 15th day, a fireman jumped over the stern & was taken by sharks",Sea Disaster,1
4468,1942.11.13.c,1942,SOLOMON ISLANDS,"Anti-Aircraft cruiser USS Atlanta (CL,-05) travelling in convoy after the Battle of Midway, encountered a Japanese flotilla  (Battle of Guadalcanal) &, heavily damaged by gunfire, she was lost off Lunga Point. Victim was swimming when bitten.",Sea Disaster,0
4469,1942.11.13.b,1942,SOLOMON ISLANDS / VANUATU,Explosion & sinking of the USS Juneau after being torpedoed by the submarine  I-85,Sea Disaster,1
4470,1942.11.13.a,1942,SOLOMON ISLANDS,,Sea Disaster,1
4471,1942.11.01,1942,SOUTH AFRICA,Swimming ,Unprovoked,1
4472,1942.11.00.b,1942,PACIFIC OCEAN,In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,Provoked,0
4473,1942.11.00.a,1942,,"Dutch merchant ship Zaandam torpedoed  by the U-174 amidships, sank & dozens of survivors took to rafts & boats. One man, Izzi, who drifted 83 days on a raft related that sharks attacked many men in the water when the ship went down",Sea Disaster,1
4474,1942.10.12,1942,SOLOMON ISLANDS,"His ship, the US destroyer Duncan DD 485, had been  sunk by crossfire from Japanese warships. He was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation  ",Sea Disaster,0
4475,1942.09.30,1942,ATLANTIC OCEAN,The 6015-ton British ship Empire Avocet was torpedoed by the German submarine U-125. ,Sea Disaster,0
4476,1942.09.12.b,1942,ATLANTIC OCEAN,"The Pacquebot Laconia, enroute to Liverpool with 600 Italian prisoners onboard, was torpedoed by the German submarine  U-156 and only 2 rafts were launched before the ship went down. Unable to board an overcrowded raft, he was swimming.",Sea Disaster,0
4477,1942.09.12.a,1942,AUSTRALIA,Treading water,Unprovoked,0
4478,1942.09.11,1942,SOUTHWEST PACIFIC OCEAN,Adrift on life raft,Sea Disaster,1
4479,1942.08.08,1942,SOLOMON ISLANDS,Japanese aircraft shot down. He was one of two survivors rescued by the U.S. destroyer Mugford,Sea Disaster,0
4480,1942.07.12,1942,ATLANTIC OCEAN,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,Sea Disaster,1
4481,1942.07.06,1942,ITALY,Sculling,Provoked,0
4482,1942.06.11.R,1942,BAY OF BENGAL,A 210-ton brig was sunk by a Japanese submarine. Some of the survivors were machine-gunned & some were taken by sharks,Sea Disaster,1
4483,1942.06.08.R,1942,BRAZIL,boat capsized during filming,Invalid,1
4484,1942.06.04,1942,USA,"Plane crashed in water, men in life raft",Unprovoked,0
4485,1942.06.00,1942,,On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,Unprovoked,0
4486,1942.05.09,1942,AUSTRALIA,Diving from lugger,Unprovoked,0
4487,1942.04.05,1942,INDIAN OCEAN,H.M.S. Cornwall & H.M.S.Dorsetshire sunk by Japanese dive bombers. Officers & men in the water formed a circle with 60 of their dead in the center for 36 hours,Invalid,1
4488,1942.03.08,1942,CUBA,Esso Bolivar was torpedoed & shelled by the German submarine U-126,Sea Disaster,1
4489,1942.03.04,1942,AUSTRALIA,,Invalid,1
4490,1942.01.18,1942,AUSTRALIA,,Boating,0
4491,1942.01.04,1942,AUSTRALIA,Swimming,Unprovoked,1
4492,1942.01.00,1942,AUSTRALIA,Surf-skiing,Provoked,0
4493,1942.00.00.k,1942,INDONESIA,Captured Allied soldiers were squeezed into 3' bamboo pig baskets & fed to waiting sharks,Sea Disaster,1
4494,1942.00.00.j,1942,AUSTRALIA,Fishing for perch,Boating,0
4495,1942.00.00.i,1942,PHILIPPINES,"Sailing from Gingood, Misamis Oriental to Sagay (normally a 2-day voyage) capsized with 6 on board, three men were taken by sharks when they attempted to swim to shore.",Unprovoked,1
4496,1942.00.00.h,1942,SOUTH AFRICA,,Boating,0
4497,1942.00.00.g,1942,SOUTH AFRICA,,Boating,0
4498,1942.00.00.f,1942,BAHAMAS,Swimming along side N.E.L. vessel Saluda,Unprovoked,0
4499,1942.00.00.e,1942,,Jumped overboard from torpedoed Panamanian freighter,Sea Disaster,1
4500,1942.00.00.d,1942,MID-PACIFC OCEAN,"Plane forced down, 3 men on rubber life raft. Put hand over side to feel drift of boat ",Sea Disaster,0
4501,1942.00.00.c,1942,SOUTHWEST PACIFIC OCEAN,Ditched plane in the sea & were adrift on a rubber life raft. ,Sea Disaster,0
4502,1942.00.00.b,1942,,"Days before the surrender of Singapore, the 3 men escaped to Sumatra where they acquired a 17' dinghy. After 125 days at sea they drifted back to Sumatra",Boating,0
4503,1942.00.00.a,1942,PANAMA,Swimming,Unprovoked,1
4504,1941.12.07,1941,SOUTH ATLANTIC OCEAN,Torpedoed & burning British  light cruiser with a crew of 450 men,Sea Disaster,1
4505,1941.12.03,1941,AUSTRALIA,Swimming,Unprovoked,0
4506,1941.11.27.b,1941,SOUTH ATLANTIC OCEAN,HMAS Parramatta torpedoed & sunk by the U-559,Sea Disaster,0
4507,1941.11.27.a,1941,SOUTH ATLANTIC OCEAN,HMAS Parramatta torpedoed & sunk by the U-559,Sea Disaster,0
4508,1941.11.24,1941,SOUTH ATLANTIC OCEAN,British cruiser Dunedin torpedoed & sunk by the U-124,Sea Disaster,1
4509,1941.11.19,1941,AUSTRALIA,German raider Kormoran was sunk in an engagement with HMAS Sydney,Sea Disaster,0
4510,1941.09.25,1941,CARIBBEAN SEA,SS Ethel Skakel foundered in Central America Hurricane of 1941,Unprovoked,1
4511,1941.08.21.R,1941,USA,Fishing,Provoked,0
4512,1941.08.05,1941,AUSTRALIA,Swimming,Invalid,1
4513,1941.08.01,1941,USA,Swimming at edge of channel,Unprovoked,0
4514,1941.07.22,1941,USA,Fishing for tuna,Boating,0
4515,1941.07.01,1941,USA,Fishing,Provoked,0
4516,1941.06.15,1941,USA,Fishing from 32' boat,Provoked,0
4517,1941.06.00,1941,PACIFIC OCEAN,"Ditched aircraft, 3 men in the water. Swam for 31 hours",Sea Disaster,1
4518,1941.03.24,1941,SOUTH ATLANTIC OCEAN,The troopship Britannia was sunk by the German raider Thor,Sea Disaster,0
4519,1941.03.09,1941,USA,Fishing,Provoked,0
4520,1941.02.13.,1941,AUSTRALIA,Fishing,Provoked,0
4521,1941.02.01,1941,JAMAICA,Seine netting,Provoked,0
4522,1941.01.29,1941,SOUTH ATLANTIC OCEAN,Rescuing seaman after ship sunk by German raider,Unprovoked,0
4523,1941.01.00,1941,ATLANTIC OCEAN,Adrift on raft after their ship was sunk by an Axis raider ,Sea Disaster,1
4524,1941.00.00.h,1941,SOLOMON ISLANDS,Floating,Unprovoked,0
4525,1941.00.00.f,1941,IRAN,Standing,Unprovoked,1
4526,1941.00.00.e,1941,IRAN,,Unprovoked,1
4527,1941.00.00.d,1941,IRAN,,Unprovoked,0
4528,1941.00.00.c,1941,IRAN,Slipped off rocks and fell into the water,Unprovoked,1
4529,1941.00.00.b,1941,IRAN,Standing,Unprovoked,1
4530,1941.00.00.a,1941,PAPUA NEW GUINEA,,Unprovoked,0
4531,1940.12.28,1940,AUSTRALIA,Standing on sandbank,Unprovoked,1
4532,1940.12.20,1940,SOUTH AFRICA,Swimming,Unprovoked,1
4533,1940.12.19.R,1940,AUSTRALIA,Fishing,Unprovoked,0
4534,1940.12.10,1940,AUSTRALIA,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,Provoked,0
4535,1940.09.00,1940,PANAMA,Bathing,Unprovoked,1
4536,1940.07.13.b,1940,USA,Standing,Unprovoked,0
4537,1940.07.13.a,1940,USA,Standing ,Unprovoked,0
4538,1940.06.30,1940,USA,Fishing,Unprovoked,0
4539,1940.03.31,1940,SOUTH AFRICA,Treading water,Unprovoked,1
4540,1940.03.20,1940,AUSTRALIA,Free diving for lobster,Unprovoked,0
4541,1940.02.22,1940,SOUTH AFRICA,Swimming,Unprovoked,1
4542,1940.02.20,1940,AUSTRALIA,Canoeing,Boating,0
4543,1940.02.04,1940,AUSTRALIA,Wading,Unprovoked,1
4544,1940.01.29,1940,AUSTRALIA,Dived into the water,Unprovoked,0
4545,1940.01.23,1940,AUSTRALIA,Swimming,Unprovoked,1
4546,1940.01.15,1940,AUSTRALIA,Swimming,Unprovoked,0
4547,1940.01.07,1940,SOUTH AFRICA,Swimming ,Unprovoked,1
4548,1940.01.01,1940,AUSTRALIA,Diving for trochus,Unprovoked,0
4549,1940.00.00.f,1940,SLOVENIA,Boating,Boating,0
4550,1940.00.00.e,1940,NEW GUINEA,,Unprovoked,1
4551,1940.00.00.d,1940,PAPUA NEW GUINEA,male,Unprovoked,0
4552,1940.00.00.c,1940,SOUTH AFRICA,Swimming,Invalid,
4553,1940.00.00.b,1940,SOUTH AFRICA,,Invalid,1
4554,1940.00.00.a,1940,SOUTH AFRICA,Standing in water with child in her arms,Invalid,0
4555,1939.12.28,1939,AUSTRALIA,Swimming,Invalid,0
4556,1939.12.14,1939,AUSTRALIA,Swimming ,Unprovoked,1
4557,1939.11.23,1939,AUSTRALIA,,Boating,0
4558,1939.11.11,1939,AUSTRALIA,,Provoked,0
4559,1939.11.09,1939,AUSTRALIA,,Boating,
4560,1939.11.06,1939,AUSTRALIA,,Boating,
4561,1939.11.02.R,1939,SAMOA,Fishing,Unprovoked,1
4562,1939.10.25.R,1939,AUSTRALIA,"Free diving for trochus shell, swimming to dinghy",Unprovoked,0
4563,1939.10.04,1939,USA,Spearfishing & had just speared a ulua,Unprovoked,0
4564,1939.09.27.R,1939,AUSTRALIA,Pearl diving,Unprovoked,0
4565,1939.08.01,1939,USA,Fishing,Provoked,0
4566,1939.07.18,1939,PACIFIC OCEAN,Japanese freighter Bokuyo Maru burned & sank,Sea Disaster,1
4567,1939.07.16,1939,BAHAMAS,"Dress diving, filming shark & pulling it through the water for a motion picture scene",Provoked,0
4568,1939.07.14,1939,USA,Seine netting,Provoked,0
4569,1939.05.03,1939,USA,Washed off freighter Huncliff by a freak wave,Unprovoked,1
4570,1939.04.12.R,1939,PAPUA NEW GUINEA,Dived for a coin,Unprovoked,1
4571,1939.03.24,1939,PAPUA NEW GUINEA,Dived for a coin,Unprovoked,1
4572,1939.02.26,1939,NEW ZEALAND,Fishing,Provoked,0
4573,1939.01.12,1939,AUSTRALIA,Scooping prawns,Unprovoked,0
4574,1939.00.00.e,1939,SRI LANKA,She was on a ship that was torpedoes & was in the water awaiting rescue,Sea Disaster,0
4575,1939.00.00.d,1939,BAHAMAS,Fishing,Boating,0
4576,1939.00.00.c,1939,VENEZUELA,Bathing,Unprovoked,1
4577,1939.00.00.b,1939,CURACAO,Diving,Unprovoked,0
4578,1939.00.00.a,1939,PAPUA NEW GUINEA,Swimming to anchored boat,Unprovoked,1
4579,1938.12.27,1938,AUSTRALIA,Swimming,Unprovoked,1
4580,1938.10.05,1938,AUSTRALIA,Fishing,Provoked,0
4581,1938.08.29,1938,CHINA,Swimming alongside warship   Tsingt-ao,Unprovoked,1
4582,1938.08.18,1938,USA,Fishing,Provoked,0
4583,1938.07.18,1938,USA,Swimming,Unprovoked,0
4584,1938.07.17.R,1938,TURKEY,Fishing,Provoked,0
4585,1938.07.17,1938,USA,"Fishing, removing gaff from shark's mouth",Provoked,0
4586,1938.07.12,1938,AUSTRALIA,"Hardhat diving from Japanese pearling lugger, Reiyo Maru",Unprovoked,1
4587,1938.06.17,1938,NICARAGUA,"The schooner Elizabeth, bound from Bluefields, Nicaragua to the river port of San Carlos foundered",Unprovoked,1
4588,1938.06.08,1938,AUSTRALIA,Hardhat diving,Unprovoked,0
4589,1938.05.26,1938,COSTA RICA,Fishing,Unprovoked,1
4590,1938.05.15,1938,IRAQ,"Swimming, naked",Unprovoked,0
4591,1938.05.02.R,1938,INDIA,Bathing,Unprovoked,1
4592,1938.03.21.R,1938,FIJI,Wading,Unprovoked,0
4593,1938.03.08,1938,AUSTRALIA,Canoe capsized by shark,Unprovoked,0
4594,1938.01.21,1938,AUSTRALIA,Fishing,Provoked,0
4595,1938.01.18,1938,SOUTH AFRICA,"Watching seine netters with friends, one of whom picked up a netted shark",Provoked,0
4596,1938.01.14,1938,AUSTRALIA,Diving off jetty,Unprovoked,0
4597,1938.01.02,1938,AUSTRALIA,Surf skiing,Unprovoked,0
4598,1938.00.00.e.R,1938,EGYPT,Sponge diving,Unprovoked,1
4599,1938.00.00.d,1938,TRINIDAD & TOBAGO,Body surfing,Unprovoked,0
4600,1938.00.00.c,1938,USA,Fishing,Provoked,0
4601,1938.00.00.b,1938,AUSTRALIA,Diving,Unprovoked,0
4602,1938.00.00.a,1938,SOUTH AFRICA,Swimming,Unprovoked,0
4603,1937.11.13,1937,USA,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",Sea Disaster,1
4604,1937.11.11,1937,AUSTRALIA,Diving for trochus,Unprovoked,1
4605,1937.11.06.R,1937,SOLOMON ISLANDS,"Two canoes with 14 aboard blown to sea in a storm. While adrift for 3 week, one person fell overboard and was killed by a shark",Sea Disaster,1
4606,1937.10.27.b,1937,AUSTRALIA,Swimming ,Unprovoked,1
4607,1937.10.27.a,1937,AUSTRALIA,Swimming ,Unprovoked,1
4608,1937.10.24.c,1937,AUSTRALIA,Swimming near jetty,Unprovoked,0
4609,1937.10.24.a,1937,AUSTRALIA,Surf skiing,Unprovoked,0
4610,1937.09.26.R,1937,CROATIA,Fishing,Provoked,0
4611,1937.09.12,1937,SCOTLAND,Pleasure boating,Boating,0
4612,1937.09.11,1937,SCOTLAND,Fishing,Boating,0
4613,1937.09.01,1937,SCOTLAND,Rowing,Unprovoked,0
4614,1937.08.31,1937,AUSTRALIA,"Diving from the lugger San, operated by the Protector of the Aborigines",Unprovoked,0
4615,1937.08.16,1937,TURKEY,Swimming,Invalid,0
4616,1937.08.02,1937,PANAMA,Swimming,Unprovoked,1
4617,1937.07.16.R,1937,AUSTRALIA,Pearl diving,Unprovoked,1
4618,1937.07.06,1937,ITALY,,Invalid,0
4619,1937.06.28.R,1937,GREECE,,Unprovoked,1
4620,1937.06.15.b,1937,AUSTRALIA,"Fishing from launch, fell into net with shark",Provoked,0
4621,1937.06.15,1937,USA,Swimming,Unprovoked,1
4622,1937.05.30,1937,USA,Fishing,Provoked,0
4623,1937.05.15,1937,AUSTRALIA,"Refused permission to cross on the ferry, he was swimming across the river",Unprovoked,1
4624,1937.03.26,1937,AUSTRALIA,Bathing,Invalid,0
4625,1937.03.09,1937,AUSTRALIA,Swimming,Invalid,1
4626,1937.02.13,1937,AUSTRALIA,Swimming,Unprovoked,1
4627,1937.02.11,1937,AUSTRALIA,Swimming ashore after launch capsized,Unprovoked,0
4628,1937.02.04,1937,AUSTRALIA,Fishing,Boating,0
4629,1937.02.03,1937,AUSTRALIA,Fishing,Provoked,0
4630,1937.02.02,1937,AUSTRALIA,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,Invalid,1
4631,1937.01.27,1937,AUSTRALIA,Holding shark's tail ,Provoked,0
4632,1937.00.00,1937,AUSTRALIA,,Unprovoked,0
4633,1936.12.30,1936,USA,"Diving, attempting to retrieve body of drowning victim wedged between rocks",Unprovoked,0
4634,1936.12.19,1936,AUSTRALIA,Sculling,Boating,0
4635,1936.12.15,1936,AUSTRALIA,Fishing for the shark that killed George Lundberg,Provoked,0
4636,1936.12.12,1936,AUSTRALIA,Swimming,Unprovoked,1
4637,1936.12.01,1936,AUSTRALIA,Fishing,Boating,1
4638,1936.11.27,1936,AUSTRALIA,Spearfishing ,Provoked,0
4639,1936.09.04,1936,USA,Swimming,Unprovoked,0
4640,1936.08.24,1936,AUSTRALIA,"Trochus diving, but floating on surface",Unprovoked,0
4641,1936.08.11,1936,CANADA,Fishing for cod,Provoked,0
4642,1936.08.04,1936,AUSTRALIA,Pearl diving,Unprovoked,0
4643,1936.08.00,1936,USA,Fishing,Boating,0
4644,1936.07.25,1936,USA,Swimming crawl stroke,Unprovoked,1
